"","ID1","ID2"
"1","66","102"
"2","63","31"
"3","73","108"
"4","114","35"
"5","4","16"
"6","65","54"
"7","126","49"
"8","109","16"
"9","78","31"
"10","5","38"
"11","56","35"
"12","121","93"
"13","96","102"
"14","30","89"
"15","122","54"
"16","107","74"
"17","46","48"
"18","51","50"
"19","6","48"
"20","76","64"
"21","86","11"
"22","110","27"
"23","68","49"
"24","104","84"
"25","33","69"
"26","45","2"
"27","3","102"
"28","77","7"
"29","53","40"
"30","80","108"
"31","37","116"
"32","129","20"
"33","36","49"
"34","101","102"
"35","72","31"
"36","39","74"
"37","22","89"
"38","95","24"
"39","92","48"
"40","94","54"
"41","28","54"
"42","130","20"
"43","26","43"
"44","23","24"
"45","118","69"
"46","71","20"
"47","106","102"
"48","-1","97"
"49","70","102"
"50","119","11"
"51","14","97"
"52","21","44"
"53","100","40"
"54","113","20"
"55","10","69"
"56","79","60"
"57","52","48"
"58","123","50"
"59","55","58"
"60","25","103"
"61","81","74"
"62","32","13"
"63","59","62"
"64","105","124"
"65","18","69"
