Unnamed: 0,ID1,ID2
1,66,90
2,63,31
3,48,32
4,4,97
5,126,19
6,78,31
7,5,38
8,56,80
9,54,130
10,96,101
11,88,72
12,30,36
13,49,36
14,116,97
15,107,74
16,46,106
17,2,45
18,6,38
19,40,16
20,93,121
21,9,74
22,102,106
23,112,32
24,89,83
25,27,76
26,104,84
27,103,97
28,11,130
29,115,23
30,33,29
31,3,106
32,87,42
33,35,114
34,91,15
35,37,34
36,69,76
37,39,74
38,64,110
39,108,43
40,95,24
41,92,51
42,124,19
43,94,130
44,62,122
45,8,45
46,98,28
47,60,130
48,41,17
49,-1,97
50,70,106
51,119,83
52,21,97
53,100,45
54,79,31
55,52,76
56,123,13
57,25,13
58,44,110
59,20,120
60,81,74
61,131,24
62,59,76
63,105,34
64,99,55
65,18,97
